lesson_id,form,graded,kind,question,choices,correct_answer,points,explanation
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 2 × 3 (for 12)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 3 × 5 (for 30)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 2 × 2 × 3 (for 24)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  4 × 3 (for 12)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  6 × 5 (for 30)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  8 × 3 (for 24)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 12,2 × 5 × 5 | 2 × 3 × 3 | 2 × 2 × 7 | 2 × 2 × 3 | 2 × 2 × 5 | 3 × 3 × 5,2 × 2 × 3,1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 18,3 × 3 × 5 | 2 × 2 × 7 | 2 × 2 × 3 | 2 × 3 × 3 | 2 × 5 × 5 | 2 × 2 × 5,2 × 3 × 3,1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 20,2 × 2 × 5 | 2 × 3 × 3 | 3 × 3 × 5 | 2 × 2 × 7 | 2 × 5 × 5 | 2 × 2 × 3,2 × 2 × 5,1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 28,2 × 2 × 7 | 2 × 3 × 3 | 2 × 2 × 3 | 2 × 5 × 5 | 3 × 3 × 5 | 2 × 2 × 5,2 × 2 × 7,1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 45,2 × 2 × 5 | 2 × 3 × 3 | 2 × 5 × 5 | 2 × 2 × 7 | 2 × 2 × 3 | 3 × 3 × 5,3 × 3 × 5,1,
1-1,quiz,yes,mc,Match each number to its prime factorization. /  / 50,2 × 3 × 3 | 2 × 2 × 3 | 2 × 2 × 7 | 2 × 2 × 5 | 3 × 3 × 5 | 2 × 5 × 5,2 × 5 × 5,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  6 (= 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  10 (= 2 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  15 (= 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  35 (= 5 × 7)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  12 (= 2 × 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  30 (= 2 × 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  24 (= 2 × 2 × 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  60 (= 2 × 2 × 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1,quiz,yes,mc,Exit Ticket: What is the prime factorization of 40?,2 × 2 × 2 × 5 | 4 × 10 | 5 × 8 | 2 × 20,2 × 2 × 2 × 5,1,"40 = 2 × 20 = 2 × 2 × 10 = 2 × 2 × 2 × 5. All factors (2, 2, 2, 5) are prime."
1-1-flagship,notes,no,short,"A whole number greater than 1 with exactly two factors, 1 and itself, is a ___ number.",,,0,
1-1-flagship,notes,no,short,A whole number greater than 1 that has more than two factors is a ___ number.,,,0,
1-1-flagship,notes,no,short,Prime factorization: ___,,,0,
1-1-flagship,notes,no,short,I can break a number into its prime factors step by step using a ___.,,,0,
1-1-flagship,notes,no,short,"In 2³, the small number 3 is the ___ and it shows 2 is multiplied 3 times.",,,0,
1-1-flagship,notes,no,paragraph,"The freighter docks with 48 cargo containers, and each storage pod only holds groups built from prime-numbered units. Is 48 prime or composite, and how can you tell before building a factor tree?",,,0,
1-1-flagship,notes,no,paragraph,"Look at your factor tree for 48. How did you decide which numbers to break apart first, and how did you know when to stop?",,,0,
1-1-flagship,notes,no,paragraph,The cafeteria has 84 apples to arrange into equal rows. How does the prime factorization of 84 help the manager find every possible equal-row display?,,,0,
1-1-flagship,notes,no,paragraph,"Why does every composite number have exactly one prime factorization, no matter how you start the factor tree?",,,0,
1-1-flagship,notes,no,paragraph,How did you decide whether a number is prime or composite? What strategy did you use?,,,0,
1-1-flagship,notes,no,paragraph,How does prime factorization help the planner find all the ways to arrange the balloons?,,,0,
1-1-flagship,practice,no,mc,Which of the following is a prime number?,17 | 15 | 21 | 9,,0,
1-1-flagship,practice,no,mc,What is the prime factorization of 30?,2 × 3 × 5 | 5 × 6 | 2 × 15 | 3 × 10,,0,
1-1-flagship,practice,no,mc,What is the prime factorization of 18?,2 × 3 × 3 | 2 × 9 | 3 × 6 | 6 × 3,,0,
1-1-flagship,practice,no,paragraph,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors?",,,0,
1-1-flagship,practice,no,mc,Which of these numbers is composite?,27 | 23 | 29 | 31,,0,
1-1-flagship,practice,no,paragraph,Match each number to its prime factorization.,,,0,
1-1-flagship,practice,no,paragraph,Build the factor tree. Write each number as a product of primes.,,,0,
1-1-flagship,practice,no,paragraph,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more?",,,0,
1-1-flagship,practice,no,mc,Two students found different factor trees for 60. Student A started with 2 × 30. Student B started with 6 × 10. Which statement is true?,Both get the same prime factorization: 2 × 2 × 3 × 5 | Only Student A gets the correct prime factorization | Only Student B gets the correct prime factorization | They will get different prime factorizations,,0,
1-1-flagship,practice,no,paragraph,Find Marcus's Mistake,,,0,
1-1-flagship,practice,no,paragraph,Choose any two-digit composite number. Show TWO different factor trees that both lead to the same prime factorization. Explain why every composite number has only one prime factorization.,,,0,
1-1-flagship,practice,no,paragraph,Write the prime factorization using exponents.,,,0,
1-1-flagship,quiz,yes,mc,Which of the following is a prime number?,17 | 15 | 21 | 9,17,1,"17 has exactly two factors: 1 and 17. 15 = 3 × 5, 21 = 3 × 7, and 9 = 3 × 3, so they are all composite."
1-1-flagship,quiz,yes,mc,What is the prime factorization of 30?,2 × 3 × 5 | 5 × 6 | 2 × 15 | 3 × 10,2 × 3 × 5,1,"30 = 2 × 15 = 2 × 3 × 5. All three factors (2, 3, 5) are prime, so 2 × 3 × 5 is the prime factorization."
1-1-flagship,quiz,yes,mc,What is the prime factorization of 18?,2 × 3 × 3 | 2 × 9 | 3 × 6 | 6 × 3,2 × 3 × 3,1,"18 = 2 × 9 = 2 × 3 × 3. Both 2 and 3 are prime, so 2 × 3 × 3 is the prime factorization."
1-1-flagship,quiz,yes,mc,Which of these numbers is composite?,27 | 23 | 29 | 31,27,1,"27 = 3 × 9 = 3 × 3 × 3, so it has more than two factors. 23, 29, and 31 are all prime."
1-1-flagship,quiz,yes,mc,Two students found different factor trees for 60. Student A started with 2 × 30. Student B started with 6 × 10. Which statement is true?,Both get the same prime factorization: 2 × 2 × 3 × 5 | Only Student A gets the correct prime factorization | Only Student B gets the correct prime factorization | They will get different prime factorizations,Both get the same prime factorization: 2 × 2 × 3 × 5,1,"The Fundamental Theorem of Arithmetic says every composite number has exactly one prime factorization. No matter how you start the factor tree, you always end with 2 × 2 × 3 × 5."
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 2 × 3 (for 12)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 3 × 5 (for 30)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  2 × 2 × 2 × 3 (for 24)",Complete Prime Factorization | NOT Complete (Has Composite Factors),Complete Prime Factorization,1,
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  4 × 3 (for 12)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  6 × 5 (for 30)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1-flagship,quiz,yes,mc,"Sort each expression: is it a COMPLETE prime factorization, or does it still have composite factors? /  / Where does this belong?  8 × 3 (for 24)",Complete Prime Factorization | NOT Complete (Has Composite Factors),NOT Complete (Has Composite Factors),1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 12,2 × 2 × 7 | 2 × 3 × 3 | 2 × 2 × 5 | 3 × 3 × 5 | 2 × 2 × 3 | 2 × 5 × 5,2 × 2 × 3,1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 18,2 × 2 × 7 | 2 × 2 × 3 | 2 × 2 × 5 | 3 × 3 × 5 | 2 × 5 × 5 | 2 × 3 × 3,2 × 3 × 3,1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 20,2 × 2 × 7 | 2 × 3 × 3 | 2 × 2 × 5 | 2 × 2 × 3 | 3 × 3 × 5 | 2 × 5 × 5,2 × 2 × 5,1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 28,2 × 3 × 3 | 2 × 2 × 5 | 2 × 2 × 7 | 3 × 3 × 5 | 2 × 5 × 5 | 2 × 2 × 3,2 × 2 × 7,1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 45,2 × 3 × 3 | 2 × 2 × 7 | 2 × 2 × 5 | 2 × 2 × 3 | 2 × 5 × 5 | 3 × 3 × 5,3 × 3 × 5,1,
1-1-flagship,quiz,yes,mc,Match each number to its prime factorization. /  / 50,2 × 2 × 5 | 2 × 3 × 3 | 2 × 2 × 3 | 2 × 2 × 7 | 3 × 3 × 5 | 2 × 5 × 5,2 × 5 × 5,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  6 (= 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  10 (= 2 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  15 (= 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  35 (= 5 × 7)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Exactly Two Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  12 (= 2 × 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  30 (= 2 × 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  24 (= 2 × 2 × 2 × 3)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1-flagship,quiz,yes,mc,"Sort each number: can it be expressed as a product of exactly TWO prime factors, or does it need THREE or more? /  / Where does this belong?  60 (= 2 × 2 × 3 × 5)",Product of Exactly Two Primes | Product of Three or More Primes,Product of Three or More Primes,1,
1-1-flagship,quiz,yes,mc,Exit Ticket: What is the prime factorization of 40?,2 × 2 × 2 × 5 | 4 × 10 | 5 × 8 | 2 × 20,2 × 2 × 2 × 5,1,"40 = 2 × 20 = 2 × 2 × 10 = 2 × 2 × 2 × 5. All factors (2, 2, 2, 5) are prime."
1-2,notes,no,short,A number that divides evenly into another number with no remainder is a ___.,,,0,
1-2,notes,no,short,Greatest Common Factor: ___,,,0,
1-2,notes,no,short,A factor that two or more numbers share is a ___ factor.,,,0,
1-2,notes,no,short,A number that can be divided by another with no remainder is ___ by that number.,,,0,
1-2,notes,no,short,Prime factorization: ___,,,0,
1-2,notes,no,paragraph,"Mission Control must split 24 food packs and 36 water containers into equal crew pods, with each pod getting the same of each. Why won't the answer just be 24 or 36?",,,0,
1-2,notes,no,paragraph,"How did you find the factors that 24 and 36 share, and how did you decide which one is the GCF?",,,0,
1-2,notes,no,paragraph,The baker has 48 cookies and 32 brownies and wants identical boxes with none left over. How does the GCF tell her the most boxes she can make?,,,0,
1-2,notes,no,paragraph,"How is the greatest common factor different from the least common multiple, and how can you tell which one a problem needs?",,,0,
1-2,notes,no,paragraph,What is the greatest common factor of 24 and 36? How did sorting the factors help you find it?,,,0,
1-2,notes,no,paragraph,How does the GCF help the baker? How many boxes can she make?,,,0,
1-2,practice,no,mc,What is the GCF of 24 and 36?,12 | 6 | 8 | 24,,0,
1-2,practice,no,mc,What is the GCF of 18 and 30?,6 | 3 | 9 | 2,,0,
1-2,practice,no,mc,A baker has 16 muffins and 24 cookies. She makes identical gift boxes using all the treats. What is the greatest number of boxes?,8 | 4 | 6 | 12,,0,
1-2,practice,no,mc,Which pair of numbers has a GCF of 1?,8 and 15 | 8 and 12 | 9 and 15 | 10 and 25,,0,
1-2,practice,no,mc,What is the GCF of 8 and 12?,4 | 2 | 8 | 24,,0,
1-2,practice,no,mc,Which pair of numbers has a GCF of 5?,15 and 25 | 10 and 12 | 6 and 15 | 8 and 20,,0,
1-2,practice,no,mc,What is the GCF of 14 and 21?,7 | 14 | 3 | 1,,0,
1-2,practice,no,paragraph,"Sort these numbers: which are common factors of 16 and 20, and which are NOT?",,,0,
1-2,practice,no,mc,What is the GCF of 9 and 15?,3 | 1 | 9 | 45,,0,
1-2,practice,no,paragraph,Match each pair of numbers to their GCF.,,,0,
1-2,practice,no,paragraph,Use prime factorization to find the GCF.,,,0,
1-2,practice,no,mc,A teacher has 36 pencils and 48 erasers. She wants to make identical supply bags with no items left over. What is the greatest number of bags she can make?,12 bags | 6 bags | 4 bags | 36 bags,,0,
1-2,practice,no,paragraph,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)?",,,0,
1-2,practice,no,paragraph,Find Amara's Mistake,,,0,
1-2,practice,no,paragraph,"A farmer has 48 apples and 32 oranges. She wants to make gift baskets where every basket has the same number of apples and the same number of oranges, with none left over. Find the greatest number of baskets and explain how you used GCF to solve this.",,,0,
1-2,practice,no,paragraph,"Find the GCF of each pair, then use it to simplify the fraction.",,,0,
1-2,quiz,yes,mc,What is the GCF of 24 and 36?,12 | 6 | 8 | 24,12,1,24 = 2³ × 3 and 36 = 2² × 3². The common factors are 2² × 3 = 12.
1-2,quiz,yes,mc,What is the GCF of 18 and 30?,6 | 3 | 9 | 2,6,1,18 = 2 × 3² and 30 = 2 × 3 × 5. Common factors: 2 × 3 = 6.
1-2,quiz,yes,mc,A baker has 16 muffins and 24 cookies. She makes identical gift boxes using all the treats. What is the greatest number of boxes?,8 | 4 | 6 | 12,8,1,"GCF of 16 and 24 is 8, so she can make 8 equal boxes."
1-2,quiz,yes,mc,Which pair of numbers has a GCF of 1?,8 and 15 | 8 and 12 | 9 and 15 | 10 and 25,8 and 15,1,"8 = 2³ and 15 = 3 × 5 share no common prime factors, so the GCF is 1."
1-2,quiz,yes,mc,What is the GCF of 8 and 12?,4 | 2 | 8 | 24,4,1,"Factors of 8: 1, 2, 4, 8. Factors of 12: 1, 2, 3, 4, 6, 12. The largest common factor is 4."
1-2,quiz,yes,mc,Which pair of numbers has a GCF of 5?,15 and 25 | 10 and 12 | 6 and 15 | 8 and 20,15 and 25,1,"15 = 3 × 5, 25 = 5 × 5. Both share the factor 5, and 5 is the largest shared factor."
1-2,quiz,yes,mc,What is the GCF of 14 and 21?,7 | 14 | 3 | 1,7,1,"Factors of 14: 1, 2, 7, 14. Factors of 21: 1, 3, 7, 21. The largest common factor is 7."
1-2,quiz,yes,mc,What is the GCF of 9 and 15?,3 | 1 | 9 | 45,3,1,"Factors of 9: 1, 3, 9. Factors of 15: 1, 3, 5, 15. The largest common factor is 3."
1-2,quiz,yes,mc,A teacher has 36 pencils and 48 erasers. She wants to make identical supply bags with no items left over. What is the greatest number of bags she can make?,12 bags | 6 bags | 4 bags | 36 bags,12 bags,1,"GCF(36, 48) = 12. She can make 12 bags, each with 3 pencils and 4 erasers."
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  1",Common Factors of 16 and 20 | NOT Common Factors,Common Factors of 16 and 20,1,
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  2",Common Factors of 16 and 20 | NOT Common Factors,Common Factors of 16 and 20,1,
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  4",Common Factors of 16 and 20 | NOT Common Factors,Common Factors of 16 and 20,1,
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  5",Common Factors of 16 and 20 | NOT Common Factors,NOT Common Factors,1,
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  8",Common Factors of 16 and 20 | NOT Common Factors,NOT Common Factors,1,
1-2,quiz,yes,mc,"Sort these numbers: which are common factors of 16 and 20, and which are NOT? /  / Where does this belong?  10",Common Factors of 16 and 20 | NOT Common Factors,NOT Common Factors,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(6, 9)",6 | 10 | 8 | 5 | 3 | 7,3,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(12, 18)",7 | 10 | 5 | 6 | 3 | 8,6,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(16, 24)",5 | 6 | 3 | 7 | 10 | 8,8,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(20, 30)",5 | 3 | 10 | 7 | 6 | 8,10,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(15, 35)",8 | 10 | 3 | 7 | 6 | 5,5,1,
1-2,quiz,yes,mc,"Match each pair of numbers to their GCF. /  / GCF(14, 21)",3 | 7 | 5 | 6 | 8 | 10,7,1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  8 and 12 (GCF = 4)",GCF Greater Than 1 | Relatively Prime (GCF = 1),GCF Greater Than 1,1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  6 and 15 (GCF = 3)",GCF Greater Than 1 | Relatively Prime (GCF = 1),GCF Greater Than 1,1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  10 and 25 (GCF = 5)",GCF Greater Than 1 | Relatively Prime (GCF = 1),GCF Greater Than 1,1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  7 and 11 (GCF = 1)",GCF Greater Than 1 | Relatively Prime (GCF = 1),Relatively Prime (GCF = 1),1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  8 and 15 (GCF = 1)",GCF Greater Than 1 | Relatively Prime (GCF = 1),Relatively Prime (GCF = 1),1,
1-2,quiz,yes,mc,"Sort: which pairs have a GCF greater than 1, and which are relatively prime (GCF = 1)? /  / Where does this belong?  9 and 14 (GCF = 1)",GCF Greater Than 1 | Relatively Prime (GCF = 1),Relatively Prime (GCF = 1),1,
1-2,quiz,yes,mc,Exit Ticket: What is the GCF of 18 and 27?,9 | 3 | 6 | 18,9,1,"Factors of 18: 1, 2, 3, 6, 9, 18. Factors of 27: 1, 3, 9, 27. Common: 1, 3, 9. GCF = 9."
1-3,notes,no,short,The product of a number and any whole number is a ___ of that number.,,,0,
1-3,notes,no,short,Least common multiple: ___,,,0,
1-3,notes,no,short,A multiple that two or more numbers share is a ___ multiple.,,,0,
1-3,notes,no,short,"Counting forward by a number other than 1, like 6, 12, 18, is called ___.",,,0,
1-3,notes,no,short,Prime factorization: ___,,,0,
